rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
1,Patrick van Aanholt,Netherlands,DF,Crystal Palace,Premier League,26,1990,28,2184,5,1,6,5,0,3.1,3.1,46,92,0.21,0.04,47,32,0.0,5,19,47,64,2,0,0.0,0,0.0,0,0.0,0.0,884,1176,75.2,6422,90.0,72.2,48.7,18,63,28,90,31,83.9,16.1,46,33,7,18,5,33,33.3,0.45,0.15,0.45,54.5,1.9,0.16,0.0,2017-2018
2,Rolando Aarons,England,MF,Newcastle Utd,Premier League,21,1995,4,139,0,0,0,0,0,0.1,0.1,7,3,0.0,0.0,4,4,0.0,0,3,1,0,0,0,0.0,0,0.0,0,0.0,0.0,29,44,65.9,77,80.0,40.0,66.7,0,2,1,0,6,66.7,33.3,7,3,3,6,0,2,0.0,0.0,0.0,0.0,25.0,0.65,0.0,0.0,2017-2018
3,Rolando Aarons,England,MF,Hellas Verona,Serie A,21,1995,11,517,0,0,0,0,0,0.2,0.2,9,17,0.0,0.0,13,8,0.0,1,2,2,0,0,0,0.0,0,0.0,0,0.0,0.0,87,120,72.5,325,83.3,71.4,50.0,3,8,7,3,15,53.3,46.7,9,11,2,13,0,3,0.0,0.0,0.0,0.0,37.5,0.87,0.0,0.0,2017-2018
4,Ignazio Abate,Italy,DF,Milan,Serie A,30,1986,17,1057,1,0,1,1,0,0.2,0.2,20,81,0.09,0.0,20,17,0.0,2,20,8,29,0,0,0.0,0,0.0,0,0.0,0.0,625,776,80.5,4535,92.9,86.2,48.3,10,55,20,35,1,0.0,100.0,20,18,0,6,1,4,50.0,0.17,0.25,0.5,55.6,2.3,0.34,0.0,2017-2018
5,Aymen Abdennour,Tunisia,DF,Marseille,Ligue 1,27,1989,8,499,0,0,0,0,0,0.1,0.1,2,12,0.0,0.0,7,3,0.0,5,0,4,20,0,0,0.0,0,0.0,0,0.0,0.0,310,333,93.1,1557,98.4,95.5,70.6,0,8,0,27,1,100.0,0.0,2,1,0,1,0,2,50.0,0.18,0.0,0.0,50.0,0.36,0.0,0.0,2017-2018
6,Aly Abeid,Mauritania,DF,Levante,La Liga,19,1997,1,77,0,0,0,0,0,0.0,0.0,2,1,0.0,0.0,2,1,0.0,0,1,3,3,0,0,0.0,0,0.0,0,0.0,0.0,29,38,76.3,167,89.5,83.3,40.0,1,0,1,4,1,100.0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,33.3,2.34,0.0,0.0,2017-2018
7,Mehdi Abeid,Algeria,MF,Dijon,Ligue 1,24,1992,19,1176,0,1,1,0,0,1.0,1.0,20,49,0.0,0.08,23,15,0.0,6,5,18,25,2,0,0.0,0,0.0,0,0.0,0.0,513,605,84.8,2345,87.5,89.4,71.0,7,33,1,30,20,70.0,30.0,20,13,0,21,0,21,28.6,0.46,0.0,0.0,44.8,1.46,0.08,0.0,2017-2018
8,David Abraham,Argentina,DF,Eint Frankfurt,Bundesliga,31,1986,27,2302,0,2,2,0,0,0.4,0.4,17,103,0.0,0.08,40,32,0.0,15,14,40,141,1,0,0.0,0,0.0,0,0.0,0.0,1088,1321,82.4,8476,89.0,89.5,60.8,7,77,3,139,10,80.0,20.0,17,5,0,5,0,7,14.3,0.04,0.0,0.0,65.0,0.78,0.08,0.0,2017-2018
9,Tammy Abraham,England,FW,Swansea City,Premier League,19,1997,31,1726,5,1,6,5,0,6.8,6.8,19,20,0.26,0.05,10,8,0.0,1,7,1,11,0,0,0.0,0,0.0,0,0.0,0.0,206,314,65.6,557,71.1,62.9,45.5,12,16,6,12,47,57.4,42.6,19,16,8,51,5,42,31.0,0.68,0.12,0.38,40.2,2.19,0.1,0.0,2017-2018
10,Amir Abrashi,Albania,MF,Freiburg,Bundesliga,27,1990,12,850,0,0,0,0,0,0.2,0.2,8,38,0.0,0.0,35,32,0.0,5,17,19,20,0,0,0.0,0,0.0,0,0.0,0.0,248,321,77.3,1126,78.0,79.5,75.0,3,22,6,23,5,80.0,20.0,8,7,1,19,0,5,0.0,0.0,0.0,0.0,50.0,1.48,0.21,0.0,2017-2018
